ID;SoortMisdrijf;WijkenEnBuurten;Perioden;GeregistreerdeMisdrijven_1;Gemeentenaam_2;SoortRegio_3
5927;0.0.0 ;BU00341808;2024JJ00;1;                              ;        
5953;0.0.0 ;BU00341901;2024JJ00;42;                              ;        
5966;0.0.0 ;BU00341902;2024JJ00;71;                              ;        
5979;0.0.0 ;BU00341903;2024JJ00;23;                              ;        
5992;0.0.0 ;BU00341904;2024JJ00;12;                              ;        
6018;0.0.0 ;BU00342001;2024JJ00;207;                              ;        
6031;0.0.0 ;BU00342002;2024JJ00;55;                              ;        
6044;0.0.0 ;BU00342003;2024JJ00;27;                              ;        
6057;0.0.0 ;BU00342004;2024JJ00;13;                              ;        
6070;0.0.0 ;BU00342005;2024JJ00;0;                              ;        
6096;0.0.0 ;BU00342101;2024JJ00;41;                              ;        
6109;0.0.0 ;BU00342102;2024JJ00;22;                              ;        
6122;0.0.0 ;BU00342103;2024JJ00;8;                              ;        
6148;0.0.0 ;BU00342201;2024JJ00;81;                              ;        
6161;0.0.0 ;BU00342202;2024JJ00;25;                              ;        
6174;0.0.0 ;BU00342203;2024JJ00;19;                              ;        
6187;0.0.0 ;BU00342204;2024JJ00;52;                              ;        
6200;0.0.0 ;BU00342205;2024JJ00;44;                              ;        
6213;0.0.0 ;BU00342206;2024JJ00;8;                              ;        
6239;0.0.0 ;BU00342301;2024JJ00;24;                              ;        
6252;0.0.0 ;BU00342302;2024JJ00;53;                              ;        
6265;0.0.0 ;BU00342303;2024JJ00;32;                              ;        
6278;0.0.0 ;BU00342304;2024JJ00;43;                              ;        
6304;0.0.0 ;BU00342401;2024JJ00;26;                              ;        
6317;0.0.0 ;BU00342402;2024JJ00;49;                              ;        
6330;0.0.0 ;BU00342403;2024JJ00;30;                              ;        
6343;0.0.0 ;BU00342404;2024JJ00;35;                              ;        
6356;0.0.0 ;BU00342405;2024JJ00;60;                              ;        
6369;0.0.0 ;BU00342406;2024JJ00;40;                              ;        
6382;0.0.0 ;BU00342407;2024JJ00;16;                              ;        
6395;0.0.0 ;BU00342408;2024JJ00;6;                              ;        
6421;0.0.0 ;BU00342501;2024JJ00;44;                              ;        
6434;0.0.0 ;BU00342502;2024JJ00;38;                              ;        
6447;0.0.0 ;BU00342503;2024JJ00;56;                              ;        
6473;0.0.0 ;BU00342601;2024JJ00;17;                              ;        
6486;0.0.0 ;BU00342602;2024JJ00;29;                              ;        
6499;0.0.0 ;BU00342603;2024JJ00;37;                              ;        
6512;0.0.0 ;BU00342604;2024JJ00;67;                              ;        
6525;0.0.0 ;BU00342605;2024JJ00;12;                              ;        
6538;0.0.0 ;BU00342606;2024JJ00;111;                              ;        
6551;0.0.0 ;BU00342607;2024JJ00;44;                              ;        
6564;0.0.0 ;BU00342608;2024JJ00;4;                              ;        
6577;0.0.0 ;BU00342609;2024JJ00;13;                              ;        
6603;0.0.0 ;BU00342701;2024JJ00;119;                              ;        
6616;0.0.0 ;BU00342702;2024JJ00;59;                              ;        
6629;0.0.0 ;BU00342703;2024JJ00;115;                              ;        
6642;0.0.0 ;BU00342704;2024JJ00;76;                              ;        
6655;0.0.0 ;BU00342705;2024JJ00;33;                              ;        
6668;0.0.0 ;BU00342706;2024JJ00;8;                              ;        
6681;0.0.0 ;BU00342707;2024JJ00;11;                              ;        
6694;0.0.0 ;BU00342708;2024JJ00;5;                              ;        
6720;0.0.0 ;BU00342801;2024JJ00;29;                              ;        
6733;0.0.0 ;BU00342802;2024JJ00;30;                              ;        
6746;0.0.0 ;BU00342803;2024JJ00;16;                              ;        
6759;0.0.0 ;BU00342804;2024JJ00;33;                              ;        
6772;0.0.0 ;BU00342805;2024JJ00;38;                              ;        
6785;0.0.0 ;BU00342806;2024JJ00;127;                              ;        
6798;0.0.0 ;BU00342807;2024JJ00;25;                              ;        
6811;0.0.0 ;BU00342808;2024JJ00;83;                              ;        
6824;0.0.0 ;BU00342809;2024JJ00;6;                              ;        
6837;0.0.0 ;BU00342810;2024JJ00;12;                              ;        
6863;0.0.0 ;BU00342901;2024JJ00;83;                              ;        
6876;0.0.0 ;BU00342902;2024JJ00;113;                              ;        
6889;0.0.0 ;BU00342903;2024JJ00;102;                              ;        
6902;0.0.0 ;BU00342904;2024JJ00;37;                              ;        
